X,mergy.workerid,mergy.assignmentid,mergy.bonus
213,ASP32QB28TEZU,3L6L49WXW0YNQ694L5L25X8ANHP45F,1.43
214,ATYGSK8FR2JX8,3Z7EFSHGN9FZNT6TKQAFGEBI8TFXCU,1.09
215,AU5UJIZ3TLI5M,3Y54SXRO1LMOS6E917UILHCI21DTU4,1.52
216,AV22FQTJNBUZT,34T446B1C0FRQ30IHEL870O7YMVC0F,1.09
217,AXBO623FU3QJH,32AT8R96GLAND61UC7PSBCGW0BYUS1,2
218,AXKVHJHF1EOVT,35DR22AR5DLBATAARXZENB7O2G2X3W,2
219,AYTUV0V3IO5AK,3SUWZRL0MYE11C6BFU7K6PY1W1UE6B,1.09
220,AYYBMS4XQJ9AP,3EJJQNKU9R6675VXXJIO2NMAK4ZRH1,0.67
221,AZNIEFUIVB2H0,36AHBNMV1RDYSQ2HPIRSJY09VZMYD2,1.52
222,AZNY7CZTSQRXS,3SBEHTYCWN4F01I3HWS3AVGMNYOYIM,1.52
223,AZOK0NYBJ9ZCS,3JRJSWSMQHM24TJTWS9MZMMHMASE35,1.09
